Date,Open,High,Low,Close,Volume,Adj Close
2013-10-31,9968.00,10020.00,9888.00,9928.00,3300,1825.48
2013-10-30,9960.00,10030.00,9960.00,10030.00,4000,1844.24
2013-10-29,9992.00,10020.00,9912.00,9936.00,4500,1826.95
2013-10-28,10110.00,10130.00,9952.00,9960.00,4300,1831.37
2013-10-25,10060.00,10140.00,10060.00,10090.00,3700,1855.27
2013-10-24,10040.00,10120.00,9960.00,10120.00,3400,1860.78
2013-10-23,10060.00,10090.00,9864.00,10020.00,5200,1842.40
2013-10-22,10070.00,10140.00,10050.00,10090.00,5200,1855.27
2013-10-21,10000.00,10100.00,9952.00,10040.00,8200,1846.07
2013-10-18,9960.00,10010.00,9872.00,9944.00,2600,1828.42
2013-10-17,10020.00,10050.00,9928.00,9944.00,5600,1828.42
2013-10-16,9848.00,10060.00,9808.00,10060.00,4600,1849.75
2013-10-15,9944.00,10060.00,9808.00,9816.00,6100,1804.89
2013-10-14,9800.00,9920.00,9800.00,9920.00,2700,1824.01
2013-10-11,9808.00,9920.00,9768.00,9920.00,5600,1824.01
2013-10-10,9640.00,9816.00,9640.00,9784.00,10200,1799.00
2013-10-09,9664.00,9696.00,9624.00,9624.00,2800,1769.58
2013-10-08,9744.00,9784.00,9728.00,9728.00,4800,1788.71
2013-10-07,9688.00,9776.00,9664.00,9776.00,2100,1797.53
2013-10-04,9744.00,9752.00,9680.00,9704.00,4200,1784.29
2013-10-03,9704.00,9792.00,9704.00,9760.00,2200,1794.59
2013-10-02,9664.00,9776.00,9656.00,9768.00,3400,1796.06
2013-10-01,9592.00,9672.00,9552.00,9672.00,4000,1778.41
2013-09-30,9608.00,9736.00,9536.00,9536.00,4000,1753.40
2013-09-27,9848.00,9848.00,9688.00,9784.00,4500,1799.00
2013-09-26,9776.00,9904.00,9712.00,9752.00,11100,1793.12
2013-09-25,9704.00,9784.00,9632.00,9760.00,2100,1794.59
2013-09-24,9584.00,9720.00,9584.00,9712.00,1800,1785.76
2013-09-23,9800.00,9832.00,9544.00,9568.00,3700,1759.29
2013-09-20,9632.00,9856.00,9632.00,9856.00,4300,1812.24
2013-09-19,9792.00,9840.00,9728.00,9752.00,5400,1793.12
2013-09-18,9648.00,9744.00,9608.00,9720.00,1800,1787.24
2013-09-17,9688.00,9688.00,9592.00,9632.00,1200,1771.06
2013-09-16,9720.00,9792.00,9656.00,9704.00,3000,1784.29
2013-09-13,9856.00,9856.00,9632.00,9712.00,3500,1785.76
2013-09-12,9800.00,9848.00,9744.00,9824.00,6400,1806.36
