Date,Open,High,Low,Close,Volume,Adj Close
2013-01-17,531.43,531.43,531.43,531.43,000,531.43
2013-01-16,529.22,529.22,529.22,529.22,000,529.22
2013-01-15,526.43,526.43,526.43,526.43,000,526.43
2013-01-14,522.10,522.10,522.10,522.10,000,522.10
2013-01-11,523.48,523.48,523.48,523.48,000,523.48
2013-01-10,522.47,522.47,522.47,522.47,000,522.47
2013-01-09,521.07,521.07,521.07,521.07,000,521.07
2013-01-08,517.98,517.98,517.98,517.98,000,517.98
2013-01-07,513.85,513.85,513.85,513.85,000,513.85
2013-01-04,513.09,513.09,513.09,513.09,000,513.09
2013-01-03,508.41,508.41,508.41,508.41,000,508.41
2013-01-02,506.42,506.42,506.42,506.42,000,506.42
2012-12-31,496.16,496.16,496.16,496.16,000,496.16
2012-12-28,496.16,496.16,496.16,496.16,000,496.16
2012-12-27,497.92,497.92,497.92,497.92,000,497.92
2012-12-21,496.97,496.97,496.97,496.97,000,496.97
2012-12-20,495.72,495.72,495.72,495.72,000,495.72
2012-12-19,493.74,493.74,493.74,493.74,000,493.74
2012-12-18,492.40,492.40,492.40,492.40,000,492.40
2012-12-17,493.23,493.23,493.23,493.23,000,493.23
2012-12-14,498.76,498.76,498.76,498.76,000,498.76
2012-12-13,497.77,497.77,497.77,497.77,000,497.77
2012-12-12,500.84,500.84,500.84,500.84,000,500.84
2012-12-11,502.48,502.48,502.48,502.48,000,502.48
2012-12-10,499.45,499.45,499.45,499.45,000,499.45
2012-12-07,498.57,498.57,498.57,498.57,000,498.57
2012-12-06,497.08,497.08,497.08,497.08,000,497.08
2012-12-05,494.23,494.23,494.23,494.23,000,494.23
2012-12-04,492.97,492.97,492.97,492.97,000,492.97
2012-12-03,493.98,493.98,493.98,493.98,000,493.98
2012-11-30,490.92,490.92,490.92,490.92,000,490.92
2012-11-29,490.77,490.77,490.77,490.77,000,490.77
2012-11-28,486.44,486.44,486.44,486.44,000,486.44
2012-11-27,488.88,488.88,488.88,488.88,000,488.88
2012-11-26,487.22,487.22,487.22,487.22,000,487.22
2012-11-23,490.27,490.27,490.27,490.27,000,490.27
2012-11-22,488.10,488.10,488.10,488.10,000,488.10
2012-11-21,483.11,483.11,483.11,483.11,000,483.11
2012-11-20,482.16,482.16,482.16,482.16,000,482.16
2012-11-19,478.52,478.52,478.52,478.52,000,478.52
2012-11-16,475.70,475.70,475.70,475.70,000,475.70
2012-11-15,477.23,477.23,477.23,477.23,000,477.23
2012-11-14,484.61,484.61,484.61,484.61,000,484.61
2012-11-13,485.54,485.54,485.54,485.54,000,485.54
2012-11-12,487.12,487.12,487.12,487.12,000,487.12
2012-11-09,489.76,489.76,489.76,489.76,000,489.76
2012-11-08,473.69,473.69,473.69,473.69,000,473.69
2012-11-07,476.61,476.61,476.61,476.61,000,476.61
2012-11-06,473.80,473.80,473.80,473.80,000,473.80
2012-11-05,488.36,488.36,488.36,488.36,000,488.36
2012-11-02,489.13,489.13,489.13,489.13,000,489.13
2012-11-01,484.83,484.83,484.83,484.83,000,484.83
2012-10-31,485.28,485.28,485.28,485.28,000,485.28
2012-10-30,488.47,488.47,488.47,488.47,000,488.47
2012-10-29,493.16,493.16,493.16,493.16,000,493.16
2012-10-26,491.78,491.78,491.78,491.78,000,491.78
2012-10-25,499.40,499.40,499.40,499.40,000,499.40
2012-10-24,496.96,496.96,496.96,496.96,000,496.96
2012-10-23,497.71,497.71,497.71,497.71,000,497.71
2012-10-22,503.28,503.28,503.28,503.28,000,503.28
2012-10-19,504.66,504.66,504.66,504.66,000,504.66
2012-10-18,501.52,501.52,501.52,501.52,000,501.52
2012-10-17,500.55,500.55,500.55,500.55,000,500.55
2012-10-16,501.82,501.82,501.82,501.82,000,501.82
2012-10-15,496.66,496.66,496.66,496.66,000,496.66
2012-10-12,491.42,491.42,491.42,491.42,000,491.42
2012-10-11,495.21,495.21,495.21,495.21,000,495.21
2012-10-10,496.10,496.10,496.10,496.10,000,496.10
2012-10-09,499.97,499.97,499.97,499.97,000,499.97
2012-10-08,504.23,504.23,504.23,504.23,000,504.23
2012-10-05,505.34,505.34,505.34,505.34,000,505.34
2012-10-04,502.39,502.39,502.39,502.39,000,502.39
2012-10-03,499.69,499.69,499.69,499.69,000,499.69
2012-10-02,500.44,500.44,500.44,500.44,000,500.44
2012-10-01,499.78,499.78,499.78,499.78,000,499.78
2012-09-28,493.22,493.22,493.22,493.22,000,493.22
2012-09-27,494.10,494.10,494.10,494.10,000,494.10
2012-09-26,494.04,494.04,494.04,494.04,000,494.04
2012-09-25,500.90,500.90,500.90,500.90,000,500.90
2012-09-24,498.97,498.97,498.97,498.97,000,498.97
2012-09-21,498.93,498.93,498.93,498.93,000,498.93
2012-09-20,494.50,494.50,494.50,494.50,000,494.50
2012-09-19,488.72,488.72,488.72,488.72,000,488.72
2012-09-18,486.82,486.82,486.82,486.82,000,486.82
2012-09-17,486.27,486.27,486.27,486.27,000,486.27
2012-09-14,488.48,488.48,488.48,488.48,000,488.48
2012-09-13,485.06,485.06,485.06,485.06,000,485.06
2012-09-12,489.70,489.70,489.70,489.70,000,489.70
2012-09-11,495.37,495.37,495.37,495.37,000,495.37
2012-09-10,494.79,494.79,494.79,494.79,000,494.79
2012-09-07,496.63,496.63,496.63,496.63,000,496.63
2012-09-06,499.82,499.82,499.82,499.82,000,499.82
2012-09-05,492.97,492.97,492.97,492.97,000,492.97
2012-09-04,489.88,489.88,489.88,489.88,000,489.88
2012-09-03,494.23,494.23,494.23,494.23,000,494.23
2012-08-31,490.16,490.16,490.16,490.16,000,490.16
2012-08-30,488.04,488.04,488.04,488.04,000,488.04
2012-08-29,489.53,489.53,489.53,489.53,000,489.53
2012-08-28,487.29,487.29,487.29,487.29,000,487.29
2012-08-27,489.87,489.87,489.87,489.87,000,489.87
2012-08-24,487.55,487.55,487.55,487.55,000,487.55
2012-08-23,491.09,491.09,491.09,491.09,000,491.09
2012-08-22,490.54,490.54,490.54,490.54,000,490.54
2012-08-21,494.14,494.14,494.14,494.14,000,494.14
2012-08-20,494.49,494.49,494.49,494.49,000,494.49
2012-08-17,493.87,493.87,493.87,493.87,000,493.87
2012-08-16,496.85,496.85,496.85,496.85,000,496.85
2012-08-15,500.37,500.37,500.37,500.37,000,500.37
2012-08-14,497.59,497.59,497.59,497.59,000,497.59
2012-08-13,489.03,489.03,489.03,489.03,000,489.03
2012-08-10,489.16,489.16,489.16,489.16,000,489.16
2012-08-09,492.22,492.22,492.22,492.22,000,492.22
2012-08-08,487.71,487.71,487.71,487.71,000,487.71
2012-08-07,488.85,488.85,488.85,488.85,000,488.85
2012-08-06,488.30,488.30,488.30,488.30,000,488.30
